IdTipoMovimiento;TipoMovimiento;Tipo;FechaJornada;Hora;idPostcosecha;Postcosecha;idFinca;Finca;Propia;idBloque;Bloque;idProducto;Producto;idVariedad;Variedad;idGrado;Grado;Ramos;Tallos;idCausa;Causa
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;4;Armonía;4;Armonía;VERDADERO;707;BL 19;4;ROSES SPRAY;2123;STAR BLUSH;6;SINCLA;7;280;44;MALA MARCACION
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;4;Armonía;4;Armonía;VERDADERO;703;BL 20;4;ROSES SPRAY;4141;ORANGE SENSATION;6;SINCLA;3;120;44;MALA MARCACION
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;4;Armonía;4;Armonía;VERDADERO;703;BL 20;4;ROSES SPRAY;4323;SOMERSET!;6;SINCLA;1;40;44;MALA MARCACION
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;4;Armonía;11;Cienpueblos;VERDADERO;609;BL 06;1;ROSES;115;VENDELA;6;SINCLA;2;80;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;19;El Amanecer;19;El Amanecer;VERDADERO;1308;BL 11;1;ROSES;870;FREEDOM;6;SINCLA;1;40;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;19;El Amanecer;19;El Amanecer;VERDADERO;1318;BL 12;1;ROSES;3089;ORANGE CRUSH;6;SINCLA;4;160;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;9;19;El Amanecer;19;El Amanecer;VERDADERO;1305;BL 13;1;ROSES;870;FREEDOM;6;SINCLA;1;40;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;19;El Amanecer;19;El Amanecer;VERDADERO;1325;BL 14;1;ROSES;870;FREEDOM;6;SINCLA;1;40;68;TALLO CORTO
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;19;El Amanecer;19;El Amanecer;VERDADERO;1319;BL 15;1;ROSES;107;SKYLINE;6;SINCLA;2;80;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;19;El Amanecer;19;El Amanecer;VERDADERO;1314;BL 19;1;ROSES;870;FREEDOM;6;SINCLA;1;40;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;19;El Amanecer;19;El Amanecer;VERDADERO;1330;BL 26;1;ROSES;870;FREEDOM;6;SINCLA;10;362;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;19;El Amanecer;19;El Amanecer;VERDADERO;1330;BL 26;1;ROSES;870;FREEDOM;6;SINCLA;1;40;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;17;Dulcemiel;VERDADERO;1024;BL 01;1;ROSES;115;VENDELA;6;SINCLA;6;240;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;20;El Arda;VERDADERO;636;BL 04;4;ROSES SPRAY;939;BLUE MOON;6;SINCLA;1;50;1;ACAROS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;20;El Arda;VERDADERO;634;BL 09;4;ROSES SPRAY;4297;PURPLE IRISCHKA;6;SINCLA;1;30;57;PRESENCIA DE THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;12;26;El Camino;20;El Arda;VERDADERO;642;BL 19;1;ROSES;870;FREEDOM;6;SINCLA;3;120;57;PRESENCIA DE THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;20;El Arda;VERDADERO;648;BL 21;4;ROSES SPRAY;2123;STAR BLUSH;6;SINCLA;1;40;1;ACAROS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;20;El Arda;VERDADERO;651;BL 22;4;ROSES SPRAY;581;ILSE;6;SINCLA;1;40;1;ACAROS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;20;El Arda;VERDADERO;651;BL 22;4;ROSES SPRAY;1363;ROYAL FLASH;6;SINCLA;3;150;57;PRESENCIA DE THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;12;26;El Camino;21;El Azafrán;FALSO;1000;BL 04;1;ROSES;7556;HOT SAUCE;6;SINCLA;1;40;52;MILDEO POLVOSO
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;12;26;El Camino;21;El Azafrán;FALSO;1010;BL 07;1;ROSES;870;FREEDOM;6;SINCLA;12;480;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;12;26;El Camino;21;El Azafrán;FALSO;1007;BL 08;1;ROSES;870;FREEDOM;6;SINCLA;3;120;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;9;26;El Camino;22;El Bachaco;VERDADERO;749;BL 24;4;ROSES SPRAY;4323;SOMERSET!;6;SINCLA;1;50;0;
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;753;BL 26;4;ROSES SPRAY;1333;BABE;6;SINCLA;2;100;52;MILDEO POLVOSO
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;747;BL 29;4;ROSES SPRAY;5324;BALI!;6;SINCLA;1;40;57;PRESENCIA DE THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;762;BL 59;4;ROSES SPRAY;1347;GEM STAR;6;SINCLA;1;46;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;762;BL 59;4;ROSES SPRAY;4312;FLOREANA!;6;SINCLA;3;120;44;MALA MARCACION
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;762;BL 59;4;ROSES SPRAY;4322;GINGER!;6;SINCLA;3;104;44;MALA MARCACION
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;761;BL 77;4;ROSES SPRAY;2123;STAR BLUSH;6;SINCLA;27;1080;27;DOS PUNTOS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;13;26;El Camino;22;El Bachaco;VERDADERO;745;BL 83;4;ROSES SPRAY;4297;PURPLE IRISCHKA;6;SINCLA;15;450;27;DOS PUNTOS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;27;el Encanto;39;La Estrella;VERDADERO;268;BL 01;1;ROSES;115;VENDELA;6;SINCLA;3;90;5;BOTRYTIS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;27;el Encanto;39;La Estrella;VERDADERO;280;BL 24;1;ROSES;115;VENDELA;6;SINCLA;1;30;5;BOTRYTIS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;10;27;el Encanto;39;La Estrella;VERDADERO;296;BL 25;1;ROSES;115;VENDELA;6;SINCLA;4;120;5;BOTRYTIS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;8;27;el Encanto;39;La Estrella;VERDADERO;296;BL 25;1;ROSES;870;FREEDOM;6;SINCLA;8;320;48;MARCACIÓN INCORRECTA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;11;27;el Encanto;39;La Estrella;VERDADERO;287;BL 33;1;ROSES;115;VENDELA;6;SINCLA;1;30;5;BOTRYTIS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;39;La Estrella;VERDADERO;287;BL 33;1;ROSES;115;VENDELA;6;SINCLA;2;60;5;BOTRYTIS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;302;BL 03;1;ROSES;870;FREEDOM;6;SINCLA;1;30;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;307;BL 14;1;ROSES;115;VENDELA;6;SINCLA;2;60;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;325;BL 14B;1;ROSES;115;VENDELA;6;SINCLA;1;30;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;315;BL 46;1;ROSES;870;FREEDOM;6;SINCLA;1;30;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;332;BL 57;1;ROSES;870;FREEDOM;6;SINCLA;1;30;19;DAÑO POR THRIPS
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;43;Las Marianas;VERDADERO;311;BL 60;1;ROSES;115;VENDELA;6;SINCLA;3;90;31;FLOR CERRADA
NCP;NO CONFORMIDAD POSTCOSECHA;N;1/03/2022;14;27;el Encanto;44;Las Marías;VERDADERO;338;BL 13;1;ROSES;115;VENDELA;6;SINCLA;4;120;31;FLOR CERRADA
